"-------------------------------------------------------------------------------------------"
" Atmospheric CO2 concentrations (ppm) derived from in situ air measurements                "
" at Mauna Loa, Observatory, Hawaii: Latitude 19.5°N Longitude 155.6°W Elevation 3397m      "
"                                                                                           "
" Source: R. F. Keeling, S. J. Walker, S. C. Piper and A. F. Bollenbacher                   "
" Scripps CO2 Program ( http://scrippsco2.ucsd.edu )                                        "
" Scripps Institution of Oceanography (SIO)                                                 "
" University of California                                                                  "
" La Jolla, California USA 92093-0244                                                       "
"                                                                                           "
" Status of data and correspondence:                                                        "
"                                                                                           "
" These data are subject to revision based on recalibration of standard gases. Questions    "
" about the data should be directed to Dr. Ralph Keeling (rkeeling@ucsd.edu), Stephen Walker"
" (sjwalker@ucsd.edu) and Stephen Piper (scpiper@ucsd.edu), Scripps CO2 Program.            "
"                                                                                           "
" Baseline data in this file through 06-Feb-2020 from archive dated 06-Feb-2020 08:55:31    "
"                                                                                           "
"-------------------------------------------------------------------------------------------"
"                                                                                           "
" Please cite as:                                                                           "
"                                                                                           "
" C. D. Keeling, S. C. Piper, R. B. Bacastow, M. Wahlen, T. P. Whorf, M. Heimann, and       "
" H. A. Meijer, Exchanges of atmospheric CO2 and 13CO2 with the terrestrial biosphere and   "
" oceans from 1978 to 2000.  I. Global aspects, SIO Reference Series, No. 01-06, Scripps    "
" Institution of Oceanography, San Diego, 88 pages, 2001.                                   "
"                                                                                           "
" If it is necessary to cite a peer-reviewed article, please cite as:                       "
"                                                                                           "
" C. D. Keeling, S. C. Piper, R. B. Bacastow, M. Wahlen, T. P. Whorf, M. Heimann, and       "
" H. A. Meijer, Atmospheric CO2 and 13CO2 exchange with the terrestrial biosphere and       "
" oceans from 1978 to 2000: observations and carbon cycle implications, pages 83-113,       "
" in "A History of Atmospheric CO2 and its effects on Plants, Animals, and Ecosystems",     "
" editors, Ehleringer, J.R., T. E. Cerling, M. D. Dearing, Springer Verlag,                 "
" New York, 2005.                                                                           "
"                                                                                           "
"-------------------------------------------------------------------------------------------"
"                                                                                           "
"                                                                        "
" The data file below contains 2 columns indicaing the date and CO2      "
" concentrations in micro-mol CO2 per mole (ppm), reported on the 2008A  "
" SIO manometric mole fraction scale.  These weekly values have been     "
" adjusted to 12:00 hours at middle day of each weekly period as         "
1977-12-17, 333.85
1977-12-24, 334.25
1977-12-31, 334.67
1978-01-07, 334.27
1978-01-14, 334.63
1978-01-21, 335.46
1978-01-28, 335.94
1978-02-04, 335.00
1978-02-11, 335.13
1978-02-18, 335.66
1978-02-25, 335.70
1978-03-04, 336.27
1978-03-11, 336.10
1978-03-18, 336.80
1978-03-25, 337.39
1978-04-01, 337.08
1978-04-08, 337.99
1978-04-15, 337.94
1978-04-22, 337.47
1978-04-29, 338.05
1978-05-06, 338.07
1978-05-13, 338.10
1978-05-20, 337.82
1978-05-27, 337.90
1978-06-03, 338.48
1978-06-10, 338.23
1978-06-17, 337.86
1978-06-24, 337.39
1978-07-01, 337.69
1978-07-08, 336.79
1978-07-15, 336.72
1978-07-22, 335.95
1978-07-29, 335.69
1978-08-05, 335.17
1978-08-12, 334.84
1978-08-19, 334.41
1978-08-26, 334.37
1978-09-02, 333.88
1978-09-09, 332.88
1978-09-16, 332.19
1978-09-23, 332.38
1978-09-30, 332.76
1978-10-07, 332.10
1978-10-14, 332.45
1978-10-21, 333.02
1978-10-28, 333.18
1978-11-04, 333.58
1978-11-11, 333.85
1978-11-18, 333.88
1978-11-25, 334.20
1978-12-02, 334.52
1978-12-09, 334.80
1978-12-16, 335.15
1978-12-23, 335.12
1978-12-30, 335.32
1979-01-06, 335.36
1979-01-13, 335.97
1979-01-20, 336.85
1979-01-27, 336.95
1979-02-03, 336.90
1979-02-10, 336.54
1979-02-17, 336.71
1979-02-24, 336.79
1979-03-03, 337.12
1979-03-10, 337.79
1979-03-17, 337.43
1979-03-24, 339.02
1979-03-31, 338.80
1979-04-07, 338.17
1979-04-14, 338.66
1979-04-21, 339.25
1979-04-28, 339.60
1979-05-05, 339.30
1979-05-12, 338.88
1979-05-19, 339.86
1979-05-26, 339.62
1979-06-02, 339.93
1979-06-09, 339.52
1979-06-16, 338.90
1979-06-23, 338.95
1979-06-30, 339.00
1979-07-07, 338.28
1979-07-14, 337.82
1979-07-21, 337.37
1979-07-28, 336.84
1979-08-04, 337.03
1979-08-11, 336.59
1979-08-18, 336.17
1979-08-25, 334.56
1979-09-01, 334.45
1979-09-08, 334.00
1979-09-15, 334.21
1979-09-22, 333.28
1979-09-29, 334.11
1979-10-06, 334.10
1979-10-13, 333.97
1979-10-20, 333.74
1979-10-27, 334.16
1979-11-03, 334.73
1979-11-10, 334.86
1979-11-17, 335.59
1979-11-24, 335.68
1979-12-01, 335.99
1979-12-08, 336.50
1979-12-15, 336.77
1979-12-22, 336.88
1979-12-29, 337.40
1980-01-05, 337.67
1980-01-12, 337.48
1980-01-19, 338.38
1980-01-26, 338.49
1980-02-02, 338.05
1980-02-09, 338.14
1980-02-16, 338.68
1980-02-23, 338.26
1980-03-01, 339.31
1980-03-08, 339.54
1980-03-15, 340.02
1980-03-22, 340.54
1980-03-29, 341.01
1980-04-05, 340.41
1980-04-12, 340.95
1980-04-19, 340.75
1980-04-26, 341.06
1980-05-03, 341.52
1980-05-10, 341.30
1980-05-17, 341.38
1980-05-24, 340.92
1980-05-31, 341.72
1980-06-07, 341.38
1980-06-14, 341.39
1980-06-21, 340.87
1980-06-28, 340.40
1980-07-05, 340.44
1980-07-12, 339.78
1980-07-19, 338.51
1980-07-26, 338.92
1980-08-02, 337.98
1980-08-09, 337.77
1980-08-16, 337.75
1980-08-23, 337.79
1980-08-30, 337.01
1980-09-06, 336.65
1980-09-13, 335.75
1980-09-20, 335.28
1980-09-27, 336.03
1980-10-04, 335.83
1980-10-11, 335.87
1980-10-18, 336.10
1980-10-25, 336.42
1980-11-01, 336.65
1980-11-08, 336.98
1980-11-15, 337.14
1980-11-22, 337.31
1980-11-29, 337.41
1980-12-06, 337.77
1980-12-13, 338.10
1980-12-20, 338.39
1980-12-27, 338.72
1981-01-03, 338.94
1981-01-10, 339.13
1981-01-17, 339.39
1981-01-24, 339.36
1981-01-31, 339.55
1981-02-07, 340.57
1981-02-14, 340.04
1981-02-21, 340.20
1981-02-28, 341.11
1981-03-07, 340.73
1981-03-14, 341.04
1981-03-21, 341.89
1981-03-28, 342.19
1981-04-04, 342.42
1981-04-11, 342.49
1981-04-18, 342.78
1981-04-25, 342.30
1981-05-02, 342.95
1981-05-09, 343.00
1981-05-16, 342.80
1981-05-23, 342.70
1981-05-30, 342.75
1981-06-06, 342.64
1981-06-13, 342.54
1981-06-20, 341.81
1981-06-27, 341.64
1981-07-04, 341.05
1981-07-11, 340.87
1981-07-18, 339.76
1981-07-25, 340.21
1981-08-01, 339.56
1981-08-08, 338.92
1981-08-15, 338.48
1981-08-22, 337.57
1981-08-29, 337.73
1981-09-05, 337.20
1981-09-12, 337.03
1981-09-19, 336.75
1981-09-26, 335.95
1981-10-03, 336.30
1981-10-10, 336.65
1981-10-17, 337.13
1981-10-24, 337.22
1981-10-31, 337.56
1981-11-07, 337.87
1981-11-14, 338.14
1981-11-21, 338.57
1981-11-28, 339.30
1981-12-05, 339.29
1981-12-12, 339.41
1981-12-19, 339.65
1981-12-26, 340.23
1982-01-02, 340.28
1982-01-09, 340.39
1982-01-16, 340.72
1982-01-23, 341.13
1982-01-30, 341.29
1982-02-06, 341.94
1982-02-13, 341.11
1982-02-20, 341.14
1982-02-27, 342.19
1982-03-06, 342.66
1982-03-13, 342.61
1982-03-20, 342.78
1982-03-27, 342.81
1982-04-03, 342.96
1982-04-10, 343.30
1982-04-17, 343.50
1982-04-24, 344.29
1982-05-01, 343.83
1982-05-08, 343.68
1982-05-15, 344.29
1982-05-22, 344.10
1982-05-29, 344.10
1982-06-05, 343.48
1982-06-12, 343.50
1982-06-19, 343.46
1982-06-26, 342.91
1982-07-03, 342.53
1982-07-10, 342.03
1982-07-17, 342.02
1982-07-24, 341.81
1982-07-31, 341.31
1982-08-07, 340.57
1982-08-14, 340.06
1982-08-21, 339.71
1982-08-28, 338.32
1982-09-04, 338.88
1982-09-11, 338.61
1982-09-18, 337.84
1982-09-25, 336.92
1982-10-02, 337.32
1982-10-09, 338.09
1982-10-16, 337.60
1982-10-23, 337.94
1982-10-30, 338.70
1982-11-06, 338.49
1982-11-13, 339.20
1982-11-20, 339.72
1982-11-27, 339.88
1982-12-04, 339.86
1982-12-11, 340.43
1982-12-18, 340.71
1982-12-25, 340.82
1983-01-01, 340.94
1983-01-08, 341.44
1983-01-15, 341.57
1983-01-22, 341.25
1983-01-29, 341.72
1983-02-05, 342.00
1983-02-12, 342.77
1983-02-19, 342.50
1983-02-26, 342.84
1983-03-05, 342.38
1983-03-12, 342.58
1983-03-19, 344.06
1983-03-26, 343.81
1983-04-02, 344.02
1983-04-09, 344.89
1983-04-16, 345.07
1983-04-23, 345.32
1983-04-30, 345.46
1983-05-07, 345.43
1983-05-14, 345.77
1983-05-21, 345.85
1983-05-28, 345.76
1983-06-04, 345.68
1983-06-11, 345.60
1983-06-18, 345.04
1983-06-25, 344.97
1983-07-02, 344.74
1983-07-09, 344.59
1983-07-16, 343.73
1983-07-23, 343.66
1983-07-30, 342.60
1983-08-06, 343.05
1983-08-13, 341.70
1983-08-20, 342.14
1983-08-27, 341.80
1983-09-03, 339.94
1983-09-10, 339.99
1983-09-17, 339.86
1983-09-24, 339.98
1983-10-01, 339.87
1983-10-08, 339.76
1983-10-15, 340.12
1983-10-22, 340.25
1983-10-29, 340.37
1983-11-05, 340.80
1983-11-12, 341.00
1983-11-19, 341.18
1983-11-26, 341.70
1983-12-03, 341.87
1983-12-10, 342.85
1983-12-17, 343.39
1983-12-24, 343.61
1983-12-31, 343.47
1984-01-07, 343.78
1984-01-14, 343.47
1984-01-21, 343.50
1984-01-28, 344.16
1984-02-04, 344.35
1984-02-11, 344.57
1984-02-18, 344.33
1984-02-25, 344.69
1984-03-03, 344.88
1984-03-10, 344.95
1984-03-17, 345.45
1984-03-24, 345.69
1984-04-28, 347.47
1984-05-05, 347.49
1984-05-12, 347.78
1984-05-19, 347.36
1984-05-26, 347.03
1984-06-02, 347.09
1984-06-09, 347.02
1984-06-16, 346.89
1984-06-23, 346.37
1984-06-30, 346.24
1984-07-07, 345.82
1984-07-14, 345.48
1984-07-21, 345.25
1984-07-28, 344.48
1984-08-04, 344.05
1984-08-11, 344.12
1984-08-18, 343.19
1984-08-25, 342.05
1984-09-01, 341.65
1984-09-08, 340.65
1984-09-15, 341.37
1984-09-22, 341.31
1984-09-29, 340.85
1984-10-06, 341.19
1984-10-13, 341.30
1984-10-20, 341.91
1984-10-27, 341.67
1984-11-03, 342.01
1984-11-10, 342.65
1984-11-17, 343.14
1984-11-24, 343.75
1984-12-01, 343.60
1984-12-08, 343.95
1984-12-15, 344.23
1984-12-22, 344.58
1984-12-29, 344.57
1985-01-05, 344.77
1985-01-12, 345.01
1985-01-19, 345.01
1985-01-26, 345.08
1985-02-02, 345.95
1985-02-09, 345.54
1985-02-16, 345.82
1985-02-23, 346.37
1985-03-02, 346.77
1985-03-09, 347.11
1985-03-16, 347.58
1985-03-23, 347.70
1985-03-30, 348.27
1985-04-06, 348.04
1985-04-13, 348.08
1985-04-20, 348.52
1985-04-27, 348.84
1985-05-04, 348.89
1985-05-11, 349.31
1985-05-18, 349.18
1985-05-25, 348.18
1985-06-01, 349.05
1985-06-08, 348.49
1985-06-15, 348.24
1985-06-22, 347.90
1985-06-29, 347.47
1985-07-06, 346.90
1985-07-13, 346.80
1985-07-20, 346.43
1985-07-27, 345.79
1985-08-10, 344.70
1985-08-17, 344.50
1985-08-24, 344.38
1985-08-31, 343.76
1985-09-07, 344.29
1985-09-14, 343.37
1985-09-21, 342.46
1985-09-28, 342.13
1985-10-05, 342.40
1985-10-12, 342.50
1985-10-19, 343.14
1985-10-26, 343.22
1985-11-02, 343.38
1985-11-09, 343.77
1985-11-16, 344.25
1985-11-23, 344.64
1985-11-30, 345.30
1985-12-07, 345.37
1985-12-14, 345.67
1985-12-21, 345.17
1985-12-28, 346.30
1986-01-04, 346.44
1986-01-11, 346.09
1986-01-18, 346.25
1986-01-25, 346.46
1986-02-01, 346.22
1986-02-08, 346.84
1986-02-15, 347.18
1986-02-22, 347.20
1986-03-01, 347.07
1986-03-08, 346.65
1986-03-15, 347.22
1986-03-22, 349.15
1986-03-29, 348.87
1986-04-05, 349.21
1986-04-12, 349.45
1986-04-19, 349.34
1986-04-26, 350.20
1986-05-03, 349.99
1986-05-10, 350.14
1986-05-17, 350.23
1986-05-24, 350.13
1986-05-31, 350.18
1986-06-07, 349.73
1986-06-14, 349.54
1986-06-21, 349.48
1986-06-28, 348.92
1986-07-05, 348.69
1986-07-12, 347.77
1986-07-19, 347.61
1986-07-26, 347.41
1986-08-02, 346.65
1986-08-09, 346.23
1986-08-16, 345.59
1986-08-23, 345.62
1986-08-30, 345.27
1986-09-06, 345.05
1986-09-13, 345.32
1986-09-20, 344.43
1986-09-27, 344.51
1986-10-04, 343.99
1986-10-11, 344.11
1986-10-18, 343.99
1986-10-25, 344.57
1986-11-01, 345.17
1986-11-08, 345.35
1986-11-15, 345.63
1986-11-22, 345.72
1986-11-29, 346.41
1986-12-06, 346.92
1986-12-13, 346.77
1986-12-20, 346.97
1986-12-27, 347.08
1987-01-03, 347.62
1987-01-10, 348.37
1987-01-17, 348.27
1987-01-24, 347.96
1987-01-31, 348.03
1987-02-07, 347.91
1987-02-14, 348.25
1987-02-21, 348.54
1987-02-28, 349.47
1987-03-07, 348.85
1987-03-14, 349.27
1987-03-21, 349.79
1987-03-28, 350.20
1987-04-04, 350.82
1987-04-11, 350.27
1987-04-18, 351.19
1987-04-25, 351.39
1987-05-02, 351.43
1987-05-09, 352.00
1987-05-16, 351.73
1987-05-23, 351.91
1987-05-30, 351.78
1987-06-06, 351.65
1987-06-13, 351.17
1987-06-20, 351.00
1987-06-27, 350.94
1987-07-04, 349.76
1987-07-11, 349.84
1987-07-18, 348.87
1987-07-25, 349.51
1987-08-01, 349.04
1987-08-08, 348.15
1987-08-15, 348.62
1987-08-22, 348.01
1987-08-29, 346.71
1987-09-05, 347.05
1987-09-12, 346.65
1987-09-19, 346.29
1987-09-26, 345.85
1987-10-03, 345.77
1987-10-10, 346.34
1987-10-17, 346.59
1987-10-24, 346.80
1987-10-31, 346.91
1987-11-07, 347.34
1987-11-14, 347.65
1987-11-21, 348.16
1987-11-28, 348.75
1987-12-05, 348.66
1987-12-12, 348.82
1987-12-19, 349.12
1987-12-26, 349.29
1988-01-02, 349.78
1988-01-09, 350.28
1988-01-16, 350.21
1988-01-23, 350.79
1988-01-30, 351.22
1988-02-06, 351.81
1988-02-13, 351.31
1988-02-20, 351.53
1988-02-27, 352.55
1988-03-05, 352.88
1988-03-12, 351.88
1988-03-19, 351.78
1988-03-26, 352.23
1988-04-02, 353.13
1988-04-09, 353.57
1988-04-16, 353.15
1988-04-23, 354.00
1988-04-30, 354.23
1988-05-07, 353.76
1988-05-14, 354.30
1988-05-21, 354.52
1988-05-28, 354.20
1988-06-04, 354.18
1988-06-11, 354.20
1988-06-18, 353.61
1988-06-25, 353.19
1988-07-02, 353.08
1988-07-09, 352.56
1988-07-16, 352.65
1988-07-23, 351.96
1988-07-30, 351.13
1988-08-06, 350.95
1988-08-13, 350.30
1988-08-20, 350.49
1988-08-27, 349.61
1988-09-03, 349.38
1988-09-10, 348.73
1988-09-17, 348.95
1988-09-24, 348.19
1988-10-01, 348.82
1988-10-08, 348.88
1988-10-15, 348.68
1988-10-22, 349.42
1988-10-29, 349.29
1988-11-05, 349.78
1988-11-12, 349.89
1988-11-19, 350.18
1988-11-26, 350.48
1988-12-03, 350.50
1988-12-10, 351.02
1988-12-17, 351.60
1988-12-24, 351.36
1988-12-31, 352.40
1989-01-07, 352.77
1989-01-14, 352.97
1989-01-21, 352.51
1989-01-28, 353.06
1989-02-04, 352.83
1989-02-11, 352.64
1989-02-18, 353.22
1989-02-25, 353.48
1989-03-04, 353.17
1989-03-11, 353.46
1989-03-18, 353.55
1989-03-25, 354.48
1989-04-01, 354.56
1989-04-08, 355.05
1989-04-15, 355.41
1989-04-22, 356.01
1989-04-29, 355.90
1989-05-06, 355.36
1989-05-13, 355.82
1989-05-20, 355.64
1989-05-27, 355.76
1989-06-03, 355.80
1989-06-10, 355.09
1989-06-17, 354.87
1989-06-24, 354.90
1989-07-01, 354.50
1989-07-08, 354.76
1989-07-15, 353.85
1989-07-22, 353.19
1989-07-29, 353.21
1989-08-05, 352.62
1989-08-12, 352.24
1989-08-19, 351.16
1989-08-26, 350.43
1989-09-02, 350.79
1989-09-09, 350.28
1989-09-16, 349.41
1989-09-23, 349.31
1989-09-30, 349.71
1989-10-07, 349.97
1989-10-14, 349.74
1989-10-21, 350.24
1989-10-28, 350.47
1989-11-04, 350.66
1989-11-11, 351.29
1989-11-18, 351.60
1989-11-25, 351.46
1989-12-02, 352.09
1989-12-09, 352.16
1989-12-16, 352.48
1989-12-23, 352.59
1989-12-30, 353.44
1990-01-06, 353.47
1990-01-13, 353.55
1990-01-20, 353.80
1990-01-27, 353.96
1990-02-03, 354.13
1990-02-10, 355.02
1990-02-17, 354.87
1990-02-24, 354.78
1990-03-03, 355.72
1990-03-10, 354.99
1990-03-17, 355.84
1990-03-24, 355.17
1990-03-31, 355.95
1990-04-07, 356.17
1990-04-14, 355.90
1990-04-21, 356.68
1990-04-28, 356.18
1990-05-05, 357.30
1990-05-12, 357.09
1990-05-19, 356.99
1990-05-26, 357.13
1990-06-02, 357.01
1990-06-09, 356.63
1990-06-16, 355.68
1990-06-23, 355.53
1990-06-30, 355.79
1990-07-07, 355.51
1990-07-14, 354.00
1990-07-21, 354.59
1990-07-28, 354.72
1990-08-04, 353.56
1990-08-11, 353.23
1990-08-18, 352.92
1990-08-25, 352.01
1990-09-01, 350.99
1990-09-08, 350.75
1990-09-15, 351.33
1990-09-22, 350.97
1990-09-29, 350.92
1990-10-06, 351.10
1990-10-13, 351.08
1990-10-20, 351.48
1990-10-27, 351.47
1990-11-03, 352.12
1990-11-10, 352.62
1990-11-17, 353.05
1990-11-24, 353.18
1990-12-01, 353.61
1990-12-08, 354.07
1990-12-15, 353.87
1990-12-22, 354.51
1990-12-29, 354.89
1991-01-05, 354.28
1991-01-12, 354.73
1991-01-19, 354.86
1991-01-26, 355.05
1991-02-02, 355.22
1991-02-09, 355.23
1991-02-16, 356.40
1991-02-23, 355.83
1991-03-02, 356.41
1991-03-09, 357.21
1991-03-16, 357.69
1991-03-23, 356.96
1991-03-30, 357.94
1991-04-06, 358.32
1991-04-13, 357.83
1991-04-20, 359.19
1991-04-27, 359.24
1991-05-04, 359.11
1991-05-11, 358.94
1991-05-18, 360.03
1991-05-25, 359.08
1991-06-01, 358.52
1991-06-08, 358.46
1991-06-15, 358.22
1991-06-22, 358.12
1991-06-29, 357.74
1991-07-06, 357.27
1991-07-13, 356.54
1991-07-20, 355.26
1991-07-27, 355.30
1991-08-03, 354.89
1991-08-10, 354.60
1991-08-17, 353.78
1991-08-24, 353.07
1991-08-31, 353.22
1991-09-07, 353.06
1991-09-14, 352.12
1991-09-21, 351.84
1991-09-28, 351.69
1991-10-05, 351.70
1991-10-12, 352.18
1991-10-19, 352.53
1991-10-26, 352.72
1991-11-02, 353.47
1991-11-09, 353.76
1991-11-16, 353.56
1991-11-23, 353.86
1991-11-30, 354.35
1991-12-07, 354.54
1991-12-14, 354.97
1991-12-21, 355.22
1991-12-28, 355.50
1992-01-04, 355.69
1992-01-11, 356.07
1992-01-18, 356.19
1992-01-25, 355.96
1992-02-01, 356.05
1992-02-08, 356.73
1992-02-15, 357.33
1992-02-22, 356.99
1992-02-29, 356.58
1992-03-07, 357.30
1992-03-14, 357.80
1992-03-21, 358.18
1992-03-28, 358.42
1992-04-04, 358.57
1992-04-11, 358.99
1992-04-18, 359.75
1992-04-25, 359.25
1992-05-02, 359.69
1992-05-09, 359.73
1992-05-16, 358.60
1992-05-23, 359.65
1992-05-30, 360.25
1992-06-06, 360.03
1992-06-13, 359.48
1992-06-20, 358.75
1992-06-27, 358.45
1992-07-04, 358.47
1992-07-11, 357.20
1992-07-18, 356.37
1992-07-25, 356.10
1992-08-01, 354.99
1992-08-08, 355.33
1992-08-15, 355.32
1992-08-22, 354.59
1992-08-29, 354.34
1992-09-05, 353.53
1992-09-12, 353.66
1992-09-19, 352.37
1992-09-26, 352.75
1992-10-03, 353.60
1992-10-10, 353.38
1992-10-17, 353.24
1992-10-24, 353.51
1992-10-31, 353.56
1992-11-07, 353.99
1992-11-14, 353.86
1992-11-21, 354.57
1992-11-28, 354.64
1992-12-05, 354.85
1992-12-12, 355.37
1992-12-19, 355.46
1992-12-26, 355.97
1993-01-02, 356.29
1993-01-09, 356.96
1993-01-16, 356.72
1993-01-23, 356.66
1993-01-30, 357.03
1993-02-06, 356.62
1993-02-13, 357.23
1993-02-20, 357.36
1993-02-27, 357.68
1993-03-06, 358.39
1993-03-13, 358.52
1993-03-20, 358.13
1993-03-27, 358.85
1993-04-03, 359.17
1993-04-10, 358.87
1993-04-17, 359.42
1993-04-24, 360.03
1993-05-01, 359.62
1993-05-08, 359.78
1993-05-15, 360.70
1993-05-22, 360.62
1993-05-29, 360.35
1993-06-05, 359.79
1993-06-12, 359.92
1993-06-19, 359.34
1993-06-26, 359.15
1993-07-03, 357.91
1993-07-10, 358.02
1993-07-17, 358.10
1993-07-24, 356.69
1993-07-31, 356.52
1993-08-07, 355.88
1993-08-14, 355.95
1993-08-21, 354.90
1993-08-28, 354.72
1993-09-04, 354.30
1993-09-11, 353.23
1993-09-18, 353.81
1993-09-25, 353.86
1993-10-02, 353.80
1993-10-09, 353.87
1993-10-16, 354.00
1993-10-23, 354.45
1993-10-30, 354.38
1993-11-06, 354.78
1993-11-13, 355.16
1993-11-20, 355.65
1993-11-27, 356.03
1993-12-04, 356.27
1993-12-11, 356.52
1993-12-18, 356.99
1993-12-25, 357.50
1994-01-01, 358.14
1994-01-08, 358.12
1994-01-15, 358.43
1994-01-22, 358.33
1994-01-29, 358.78
1994-02-05, 358.49
1994-02-12, 358.61
1994-02-19, 359.02
1994-02-26, 359.64
1994-03-05, 358.77
1994-03-12, 359.86
1994-03-19, 360.49
1994-03-26, 360.83
1994-04-02, 360.68
1994-04-09, 361.01
1994-04-16, 361.07
1994-04-23, 361.34
1994-04-30, 362.25
1994-05-07, 361.63
1994-05-14, 361.42
1994-05-21, 361.78
1994-05-28, 361.91
1994-06-04, 361.04
1994-06-11, 361.07
1994-06-18, 360.93
1994-06-25, 360.70
1994-07-02, 360.22
1994-07-09, 359.90
1994-07-16, 359.43
1994-07-23, 359.00
1994-07-30, 358.81
1994-08-06, 358.10
1994-08-13, 357.52
1994-08-20, 357.63
1994-08-27, 356.39
1994-09-03, 356.44
1994-09-10, 356.46
1994-09-17, 355.46
1994-09-24, 355.50
1994-10-01, 355.46
1994-10-08, 355.81
1994-10-15, 356.09
1994-10-22, 356.39
1994-10-29, 356.61
1994-11-05, 356.97
1994-11-12, 357.40
1994-11-19, 357.93
1994-11-26, 358.11
1994-12-03, 358.43
1994-12-10, 359.13
1994-12-17, 359.25
1994-12-24, 359.15
1994-12-31, 359.52
1995-01-07, 359.68
1995-01-14, 360.28
1995-01-21, 360.12
1995-01-28, 360.04
1995-02-04, 360.67
1995-02-11, 361.09
1995-02-18, 360.88
1995-02-25, 361.36
1995-03-04, 362.20
1995-03-11, 361.24
1995-03-18, 360.99
1995-03-25, 362.00
1995-04-01, 363.80
1995-04-08, 363.44
1995-04-15, 363.34
1995-04-22, 362.89
1995-04-29, 363.58
1995-05-06, 363.24
1995-05-13, 364.11
1995-05-20, 364.18
1995-05-27, 363.47
1995-06-03, 363.92
1995-06-10, 363.47
1995-06-17, 362.96
1995-06-24, 362.81
1995-07-01, 362.53
1995-07-08, 362.27
1995-07-15, 361.97
1995-07-22, 361.58
1995-07-29, 360.98
1995-08-05, 360.45
1995-08-12, 359.21
1995-08-19, 358.72
1995-08-26, 359.29
1995-09-02, 357.37
1995-09-09, 358.50
1995-09-16, 358.58
1995-09-23, 358.20
1995-09-30, 357.56
1995-10-07, 357.65
1995-10-14, 357.60
1995-10-21, 358.04
1995-10-28, 358.23
1995-11-04, 359.19
1995-11-11, 359.43
1995-11-18, 359.69
1995-11-25, 359.87
1995-12-02, 360.13
1995-12-09, 360.43
1995-12-16, 360.53
1995-12-23, 360.89
1995-12-30, 361.73
1996-01-06, 361.81
1996-01-13, 362.06
1996-01-20, 362.17
1996-01-27, 362.23
1996-02-03, 362.68
1996-02-10, 363.12
1996-02-17, 363.01
1996-02-24, 364.03
1996-03-02, 363.84
1996-03-09, 363.66
1996-03-16, 364.10
1996-03-23, 364.53
1996-03-30, 364.35
1996-04-06, 364.57
1996-04-13, 364.89
1996-04-20, 364.40
1996-04-27, 365.13
1996-05-04, 364.92
1996-05-11, 365.37
1996-05-18, 365.74
1996-05-25, 365.43
1996-06-01, 364.86
1996-06-08, 365.19
1996-06-15, 365.27
1996-06-22, 365.00
1996-06-29, 364.30
1996-07-06, 364.19
1996-07-13, 363.75
1996-07-20, 363.38
1996-07-27, 362.84
1996-08-03, 361.78
1996-08-10, 362.10
1996-08-17, 361.29
1996-08-24, 360.85
1996-08-31, 360.82
1996-09-07, 359.86
1996-09-14, 359.82
1996-09-21, 359.09
1996-09-28, 359.04
1996-10-05, 359.45
1996-10-12, 359.52
1996-10-19, 359.86
1996-10-26, 359.87
1996-11-02, 359.94
1996-11-09, 360.52
1996-11-16, 360.79
1996-11-23, 361.24
1996-11-30, 361.40
1996-12-07, 361.97
1996-12-14, 362.68
1996-12-21, 362.47
1996-12-28, 362.62
1997-01-04, 362.95
1997-01-11, 363.00
1997-01-18, 363.16
1997-01-25, 363.51
1997-02-01, 363.28
1997-02-08, 364.19
1997-02-15, 364.02
1997-02-22, 364.24
1997-03-01, 364.50
1997-03-08, 364.16
1997-03-15, 364.19
1997-03-22, 364.75
1997-03-29, 365.43
1997-04-05, 365.80
1997-04-12, 366.25
1997-04-19, 366.69
1997-04-26, 366.79
1997-05-03, 366.76
1997-05-10, 366.80
1997-05-17, 367.03
1997-05-24, 366.61
1997-05-31, 366.36
1997-06-07, 365.71
1997-06-14, 365.61
1997-06-21, 365.53
1997-06-28, 365.16
1997-07-05, 365.09
1997-07-12, 364.67
1997-07-19, 364.11
1997-07-26, 363.80
1997-08-02, 363.39
1997-08-09, 363.36
1997-08-16, 362.63
1997-08-23, 361.51
1997-08-30, 361.66
1997-09-06, 360.69
1997-09-13, 360.26
1997-09-20, 360.08
1997-09-27, 359.81
1997-10-04, 360.54
1997-10-11, 360.49
1997-10-18, 361.07
1997-10-25, 361.13
1997-11-01, 361.71
1997-11-08, 362.19
1997-11-15, 362.06
1997-11-22, 362.65
1997-11-29, 363.51
1997-12-06, 363.97
1997-12-13, 363.95
1997-12-20, 364.27
1997-12-27, 365.09
1998-01-03, 365.24
1998-01-10, 365.30
1998-01-17, 365.35
1998-01-24, 365.38
1998-01-31, 365.69
1998-02-07, 366.06
1998-02-14, 365.52
1998-02-21, 366.08
1998-02-28, 367.36
1998-03-07, 367.02
1998-03-14, 366.66
1998-03-21, 367.49
1998-03-28, 368.57
1998-04-04, 368.69
1998-04-11, 368.68
1998-04-18, 368.05
1998-04-25, 368.90
1998-05-02, 369.17
1998-05-09, 368.83
1998-05-16, 368.51
1998-05-23, 369.66
1998-05-30, 369.70
1998-06-06, 369.41
1998-06-13, 368.88
1998-06-20, 368.54
1998-06-27, 368.36
1998-07-04, 368.05
1998-07-11, 367.54
1998-07-18, 367.67
1998-07-25, 367.36
